dataset,split,missing_type,missing_rate,method,lambda,accuracy,balanced_accuracy,f1,roc_auc
biodeg,0,MAR1,0.7000000000000001,pseudo_labeling,1.0,0.8388625592417062,0.7896409455842996,0.8896103896103896,0.8969669937555755
biodeg,0,MAR1,0.7000000000000001,kmeans_majority,1.0,0.8056872037914692,0.766614629794826,0.8637873754152824,0.8628456735057984
biodeg,0,MAR1,0.7000000000000001,naive,1.0,0.7962085308056872,0.7911462979482605,0.8501742160278746,0.8667484388938447
biodeg,0,MAR1,0.75,pseudo_labeling,1.0,0.8246445497630331,0.7227363960749331,0.8868501529051988,0.8872658340767172
biodeg,0,MAR1,0.75,kmeans_majority,1.0,0.7393364928909952,0.6427854594112399,0.8264984227129337,0.8215878679750224
biodeg,0,MAR1,0.75,naive,1.0,0.8436018957345972,0.808485727029438,0.8910891089108911,0.8991971454058876
biodeg,0,MAR1,0.8,pseudo_labeling,1.0,0.8151658767772512,0.7006021409455843,0.8821752265861027,0.8742194469223907
biodeg,0,MAR1,0.8,kmeans_majority,1.0,0.7582938388625592,0.6870539696699376,0.8349514563106796,0.8385370205173952
biodeg,0,MAR1,0.8,naive,1.0,0.8009478672985783,0.7788804638715432,0.8571428571428571,0.8621208742194469
biodeg,0,MAR1,0.8500000000000001,pseudo_labeling,1.0,0.7962085308056872,0.6459634255129348,0.8746355685131195,0.8736619090098127
biodeg,0,MAR1,0.8500000000000001,kmeans_majority,1.0,0.7345971563981043,0.5824598572702944,0.834319526627219,0.804471454058876
biodeg,0,MAR1,0.8500000000000001,naive,1.0,0.8293838862559242,0.7830619982158786,0.8823529411764706,0.9049955396966993
biodeg,0,MAR2,0.0,pseudo_labeling,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MAR2,0.0,kmeans_majority,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MAR2,0.0,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9144736842105263
biodeg,0,MAR2,0.05,pseudo_labeling,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9135816235504015
biodeg,0,MAR2,0.05,kmeans_majority,1.0,0.8672985781990521,0.8508586083853702,0.9060402684563759,0.9142506690454951
biodeg,0,MAR2,0.05,naive,1.0,0.8578199052132701,0.8442796610169492,0.8986486486486487,0.9128010704727921
biodeg,0,MAR2,0.1,pseudo_labeling,1.0,0.8672985781990521,0.8560437109723461,0.9054054054054054,0.913693131132917
biodeg,0,MAR2,0.1,kmeans_majority,1.0,0.8483412322274881,0.8325156110615521,0.8918918918918919,0.899977698483497
biodeg,0,MAR2,0.1,naive,1.0,0.8578199052132701,0.8390945584299732,0.8993288590604027,0.9132471008028546
biodeg,0,MAR2,0.15000000000000002,pseudo_labeling,1.0,0.8672985781990521,0.8508586083853702,0.9060402684563759,0.9145851917930419
biodeg,0,MAR2,0.15000000000000002,kmeans_majority,1.0,0.8483412322274881,0.8273305084745763,0.8926174496644296,0.9085637823371989
biodeg,0,MAR2,0.15000000000000002,naive,1.0,0.8672985781990521,0.8456735057983943,0.9066666666666666,0.9155887600356825
biodeg,0,MAR2,0.2,pseudo_labeling,1.0,0.8530805687203792,0.8409901873327387,0.8949152542372881,0.9121320249776985
biodeg,0,MAR2,0.2,kmeans_majority,1.0,0.8293838862559242,0.824542818911686,0.8758620689655172,0.895963425512935
biodeg,0,MAR2,0.2,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9148082069580732
biodeg,0,MAR2,0.25,pseudo_labeling,1.0,0.8578199052132701,0.8390945584299732,0.8993288590604027,0.9170383586083853
biodeg,0,MAR2,0.25,kmeans_majority,1.0,0.8151658767772512,0.7991190900981266,0.8668941979522184,0.8902765388046386
biodeg,0,MAR2,0.25,naive,1.0,0.8625592417061612,0.8371989295272079,0.9036544850498339,0.9125780553077609
biodeg,0,MAR2,0.30000000000000004,pseudo_labeling,1.0,0.8483412322274881,0.8325156110615521,0.8918918918918919,0.911128456735058
biodeg,0,MAR2,0.30000000000000004,kmeans_majority,1.0,0.8436018957345972,0.8292261373773416,0.888135593220339,0.9020963425512935
biodeg,0,MAR2,0.30000000000000004,naive,1.0,0.8436018957345972,0.8188559322033898,0.8896321070234113,0.909678858162355
biodeg,0,MAR2,0.35000000000000003,pseudo_labeling,1.0,0.8341232227488151,0.8278322925958965,0.8797250859106529,0.9018733273862624
biodeg,0,MAR2,0.35000000000000003,kmeans_majority,1.0,0.7630331753554502,0.7370093666369313,0.8287671232876712,0.8008474576271187
biodeg,0,MAR2,0.35000000000000003,naive,1.0,0.8483412322274881,0.8377007136485282,0.891156462585034,0.9046610169491525
biodeg,0,MAR2,0.4,pseudo_labeling,1.0,0.8293838862559242,0.8141726137377342,0.8775510204081632,0.9020963425512936
biodeg,0,MAR2,0.4,kmeans_majority,1.0,0.8293838862559242,0.824542818911686,0.8758620689655172,0.8966324710080286
biodeg,0,MAR2,0.4,naive,1.0,0.8530805687203792,0.8358050847457628,0.8956228956228957,0.9046610169491525
biodeg,0,MAR2,0.45,pseudo_labeling,1.0,0.8578199052132701,0.8079839429081177,0.9032258064516129,0.908229259589652
biodeg,0,MAR2,0.45,kmeans_majority,1.0,0.7488151658767772,0.6545495093666369,0.832807570977918,0.8090990187332738
biodeg,0,MAR2,0.45,naive,1.0,0.8625592417061612,0.8371989295272079,0.9036544850498339,0.91057091882248
biodeg,0,MAR2,0.5,pseudo_labeling,1.0,0.7109004739336493,0.5763826940231935,0.8145896656534954,0.7628233719892953
biodeg,0,MAR2,0.5,kmeans_majority,1.0,0.7345971563981043,0.6706066012488849,0.8157894736842105,0.7780999107939339
biodeg,0,MAR2,0.5,naive,1.0,0.8009478672985783,0.789250669045495,0.8551724137931035,0.8731043710972346
biodeg,0,MAR2,0.55,pseudo_labeling,1.0,0.8388625592417062,0.8051962533452275,0.8874172185430463,0.9033229259589652
biodeg,0,MAR2,0.55,kmeans_majority,1.0,0.5734597156398105,0.4032114183764496,0.7272727272727273,0.4221677074041034
biodeg,0,MAR2,0.55,naive,1.0,0.8625592417061612,0.8371989295272079,0.9036544850498339,0.9099018733273863
biodeg,0,MAR2,0.6000000000000001,pseudo_labeling,1.0,0.8199052132701422,0.8127787689562891,0.8689655172413793,0.8909455842997324
biodeg,0,MAR2,0.6000000000000001,kmeans_majority,1.0,0.6729857819905213,0.6745093666369313,0.7472527472527473,0.7181088314005353
biodeg,0,MAR2,0.6000000000000001,naive,1.0,0.8199052132701422,0.8075936663693131,0.8698630136986302,0.8882694023193577
biodeg,0,MAR2,0.65,pseudo_labeling,1.0,0.8104265402843602,0.801014719000892,0.8620689655172413,0.8799063336306869
